Timestamp	Filename	Error	Message
2016-06-23 09:23:46.964 +0100	CRM.fmp12	0	Import of script steps from clipboard started
2016-06-23 09:23:46.972 +0100	OnRecordLoad Ensure priority 1 to 3 media join records exist	0	script steps imported : 55
2016-06-23 09:23:46.984 +0100	CRM.fmp12	0	Import completed
2016-06-23 09:25:08.398 +0100	CRM.fmp12	0	Import of script steps from clipboard started
2016-06-23 09:25:08.399 +0100	OnRecordLoad Ensure priority 1 to 3 media join records exist	0	script steps imported : 7
2016-06-23 09:25:08.400 +0100	CRM.fmp12	0	Import completed
2016-06-23 09:25:22.478 +0100	CRM.fmp12	0	Import of script steps from clipboard started
2016-06-23 09:25:22.479 +0100	OnRecordLoad Ensure priority 1 to 3 media join records exist	0	script steps imported : 7
2016-06-23 09:25:22.479 +0100	CRM.fmp12	0	Import completed
